data_path,case_name
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02044,MIX_02044
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01124,MIX_01124
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02351,MIX_02351
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04320,MIX_04320
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02349,MIX_02349
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07171,MIX_07171
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03448,MIX_03448
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00327,MIX_00327
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04526,MIX_04526
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01234,MIX_01234
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00107,MIX_00107
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01326,MIX_01326
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01172,MIX_01172
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00924,MIX_00924
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06840,MIX_06840
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00001,MIX_00001
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06319,MIX_06319
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01467,MIX_01467
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01747,MIX_01747
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01225,MIX_01225
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03909,MIX_03909
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06205,MIX_06205
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06987,MIX_06987
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06207,MIX_06207
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01294,MIX_01294
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04148,MIX_04148
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02680,MIX_02680
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06853,MIX_06853
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07026,MIX_07026
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00035,MIX_00035
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03616,MIX_03616
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06883,MIX_06883
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01660,MIX_01660
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05569,MIX_05569
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04601,MIX_04601
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05754,MIX_05754
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03468,MIX_03468
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05399,MIX_05399
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05920,MIX_05920
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02812,MIX_02812
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05766,MIX_05766
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05040,MIX_05040
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00351,MIX_00351
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00813,MIX_00813
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07062,MIX_07062
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05546,MIX_05546
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05410,MIX_05410
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04783,MIX_04783
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00642,MIX_00642
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05624,MIX_05624
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06965,MIX_06965
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02111,MIX_02111
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01483,MIX_01483
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04493,MIX_04493
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02312,MIX_02312
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07063,MIX_07063
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02389,MIX_02389
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05325,MIX_05325
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06052,MIX_06052
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06092,MIX_06092
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06258,MIX_06258
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03005,MIX_03005
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07077,MIX_07077
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06331,MIX_06331
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01503,MIX_01503
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02508,MIX_02508
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05802,MIX_05802
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00858,MIX_00858
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00434,MIX_00434
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03311,MIX_03311
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00134,MIX_00134
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05065,MIX_05065
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01408,MIX_01408
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01179,MIX_01179
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03420,MIX_03420
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00598,MIX_00598
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00929,MIX_00929
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03660,MIX_03660
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04037,MIX_04037
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02440,MIX_02440
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01427,MIX_01427
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06979,MIX_06979
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04223,MIX_04223
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02171,MIX_02171
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02134,MIX_02134
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05135,MIX_05135
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07033,MIX_07033
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_07214,MIX_07214
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04335,MIX_04335
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01374,MIX_01374
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04876,MIX_04876
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03606,MIX_03606
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05626,MIX_05626
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_03040,MIX_03040
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01538,MIX_01538
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_02526,MIX_02526
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06104,MIX_06104
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05803,MIX_05803
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_00989,MIX_00989
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_05830,MIX_05830
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06689,MIX_06689
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_01918,MIX_01918
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_04370,MIX_04370
../../../data/uls2023_all_data/ULS2023_Training_Data_Complete/MIX_06931,MIX_06931
