data_path,case_name
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02616,MIX_02616
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03440,MIX_03440
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04167,MIX_04167
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05363,MIX_05363
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03870,MIX_03870
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04603,MIX_04603
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02716,MIX_02716
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01314,MIX_01314
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00548,MIX_00548
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04893,MIX_04893
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02448,MIX_02448
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02932,MIX_02932
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05244,MIX_05244
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00867,MIX_00867
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01390,MIX_01390
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02653,MIX_02653
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03462,MIX_03462
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00620,MIX_00620
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04957,MIX_04957
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04107,MIX_04107
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01246,MIX_01246
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04976,MIX_04976
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03585,MIX_03585
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04422,MIX_04422
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00302,MIX_00302
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04717,MIX_04717
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00142,MIX_00142
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03640,MIX_03640
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03904,MIX_03904
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04898,MIX_04898
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03885,MIX_03885
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03315,MIX_03315
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03573,MIX_03573
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01139,MIX_01139
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00979,MIX_00979
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04754,MIX_04754
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03586,MIX_03586
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00311,MIX_00311
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04401,MIX_04401
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04707,MIX_04707
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00768,MIX_00768
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04225,MIX_04225
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03803,MIX_03803
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01771,MIX_01771
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02618,MIX_02618
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00098,MIX_00098
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00489,MIX_00489
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00949,MIX_00949
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01262,MIX_01262
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00933,MIX_00933
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04519,MIX_04519
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03025,MIX_03025
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01419,MIX_01419
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00601,MIX_00601
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04153,MIX_04153
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03760,MIX_03760
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03121,MIX_03121
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00467,MIX_00467
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02753,MIX_02753
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01398,MIX_01398
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00134,MIX_00134
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05714,MIX_05714
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01520,MIX_01520
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05350,MIX_05350
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02640,MIX_02640
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00737,MIX_00737
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05576,MIX_05576
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04246,MIX_04246
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05568,MIX_05568
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03073,MIX_03073
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01643,MIX_01643
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00029,MIX_00029
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01369,MIX_01369
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00608,MIX_00608
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_05771,MIX_05771
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02551,MIX_02551
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03932,MIX_03932
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_00429,MIX_00429
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03740,MIX_03740
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_04310,MIX_04310
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01965,MIX_01965
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03909,MIX_03909
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02951,MIX_02951
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03370,MIX_03370
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_03055,MIX_03055
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_01161,MIX_01161
../../../data/uls2023_seg/ULS2023_Training_Data/MIX_02838,MIX_02838
